ID_music,music,artists,total_artists,released_year,released_month,released_day,released_date,day_week_released,spotify_playlists,spotify_charts,streams,apple_playlists,apple_charts,deezer_playlists,deezer_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
1,Seven ,"Latto, Jung Kook",2,2023,7,14,14/7/2023,Sexta-Feira,553,147,141381703,43,263,45,10,125,B,Major,80,89,83,31,0,8,4
2,Lala,Myke Towers,1,2023,3,23,23/3/2023,Quinta-Feira,1474,48,133716286,48,126,58,14,92,C#,Major,71,61,74,7,0,10,4
3,Vampire,Olivia Rodrigo,1,2023,6,30,30/6/2023,Sexta-Feira,1397,113,140003974,94,207,91,14,138,F,Major,51,32,53,17,0,31,6
4,Cruel Summer,Taylor Swift,1,2019,8,23,23/8/2019,Sexta-Feira,7858,100,800840817,116,207,125,12,170,A,Major,55,58,72,11,0,11,15
5,Where She Goes,Bad Bunny,1,2023,5,18,18/5/2023,Quinta-Feira,3133,50,303236322,84,133,87,15,144,A,Minor,65,23,80,14,63,11,6
6,Sprinter,"Dave, Central Cee",2,2023,6,1,1/6/2023,Quinta-Feira,2186,91,183706234,67,213,88,17,141,C#,Major,92,66,58,19,0,8,24
7,Ella Baila Sola,"Eslabon Armado, Peso Pluma",2,2023,3,16,16/3/2023,Quinta-Feira,3090,50,725980112,34,222,43,13,148,F,Minor,67,83,76,48,0,8,3
8,Columbia,Quevedo,1,2023,7,7,7/7/2023,Sexta-Feira,714,43,58149378,25,89,30,13,100,F,Major,67,26,71,37,0,11,4
9,Fukumean,Gunna,1,2023,5,15,15/5/2023,Segunda-Feira,1096,83,95217315,60,210,48,11,130,C#,Minor,85,22,62,12,0,28,9
10,La Bebe ,"Peso Pluma, Yng Lvcas",2,2023,3,17,17/3/2023,Sexta-Feira,2953,44,553634067,49,110,66,13,170,D,Minor,81,56,48,21,0,8,33
11,Un X100To,"Bad Bunny, Grupo Frontera",2,2023,4,17,17/4/2023,Segunda-Feira,2876,40,505671438,41,205,54,12,83,F#,Minor,57,56,72,23,0,27,5
